"LAT","LON","ship_type","SHIPNAME","DATETIME","ship_type_and_name","DIFFERENCE","ID","DISTANCE","TIME"
59.86867,30.22017,"Cargo",". PRINCE OF WAVES",2016-12-14 11:01:04,"Cargo . PRINCE OF WAVES",120,2363,NA,NA
59.86983,30.21433,"Cargo",". PRINCE OF WAVES",2016-12-14 10:59:05,"Cargo . PRINCE OF WAVES",118,2364,350.956493889483,119
59.91917,30.01335,"Cargo","AALDERDIJK",2016-12-20 08:53:04,"Cargo AALDERDIJK",119,2391,NA,NA
59.91565,30.0305,"Cargo","AALDERDIJK",2016-12-20 08:51:04,"Cargo AALDERDIJK",119,2392,1034.0645789009,120
55.71969,20.8096,"Cargo","ADAMAS",2016-12-14 22:57:06,"Cargo ADAMAS",NA,3649,NA,NA
55.72534,20.85354,"Cargo","ADAMAS",2016-12-14 22:55:06,"Cargo ADAMAS",120,3650,2825.71735188401,120
59.91283,30.04498,"Cargo","ADASTRA",2016-12-20 10:25:03,"Cargo ADASTRA",120,3910,NA,NA
59.90572,30.08003,"Cargo","ADASTRA",2016-12-20 10:17:04,"Cargo ADASTRA",479,3911,2110.27201085269,479
55.7167,21.10772,"Cargo","ADELE",2016-12-15 05:25:07,"Cargo ADELE",119,7963,NA,NA
55.72617,21.08768,"Cargo","ADELE",2016-12-15 05:19:06,"Cargo ADELE",361,7964,1640.11914332526,361
57.6565,11.75017,"Cargo","ADELINA D",2016-12-15 16:05:06,"Cargo ADELINA D",120,8010,NA,NA
57.6635,11.77983,"Cargo","ADELINA D",2016-12-15 16:03:05,"Cargo ADELINA D",121,8011,1930.49406858018,121
55.73155,20.86157,"Cargo","AFRICAN CENDANA",2016-12-17 08:05:06,"Cargo AFRICAN CENDANA",120,10515,NA,NA
55.73175,20.84616,"Cargo","AFRICAN CENDANA",2016-12-17 08:03:06,"Cargo AFRICAN CENDANA",120,10516,966.164973735507,120
55.73736,20.80092,"Cargo","AFRICAN GROUSE",2016-12-17 02:35:06,"Cargo AFRICAN GROUSE",120,11686,NA,NA
55.11497,19.95943,"Cargo","AFRICAN GROUSE",2016-12-16 19:15:03,"Cargo AFRICAN GROUSE",26403,11687,87325.4411972053,26403
54.68866,20.21182,"Cargo","AFRICAN MAGNOLIA",2016-12-17 13:39:03,"Cargo AFRICAN MAGNOLIA",240,15820,NA,NA
54.68829,20.21381,"Cargo","AFRICAN MAGNOLIA",2016-12-17 13:31:02,"Cargo AFRICAN MAGNOLIA",481,15821,134.508117262268,481
54.36469,18.66545,"Cargo","AGNETHE ARCTICA",2016-12-18 10:35:02,"Cargo AGNETHE ARCTICA",120,19949,NA,NA
54.36948,18.665,"Cargo","AGNETHE ARCTICA",2016-12-18 10:31:01,"Cargo AGNETHE ARCTICA",241,19950,534.018414156479,241
55.71589,21.10918,"Cargo","AGOT",2016-12-20 06:39:06,"Cargo AGOT",120,23385,NA,NA
55.7237,21.09678,"Cargo","AGOT",2016-12-20 06:33:06,"Cargo AGOT",360,23386,1166.33356462175,360
54.66873,19.80998,"Cargo","AKACIA",2016-12-16 11:41:02,"Cargo AKACIA",121,23498,NA,NA
54.46332,18.9992,"Cargo","AKACIA",2016-12-16 08:11:02,"Cargo AKACIA",12600,23499,57104.5007866035,12600
54.65045,19.86151,"Cargo","AKERDIJK",2016-12-20 11:07:04,"Cargo AKERDIJK",238,24173,NA,NA
54.65897,19.83891,"Cargo","AKERDIJK",2016-12-20 11:01:03,"Cargo AKERDIJK",361,24174,1737.16911465824,361
55.8785,20.8175,"Cargo","ALANA",2016-12-19 10:31:06,"Cargo ALANA",120,24181,NA,NA
55.86231,20.83628,"Cargo","ALANA",2016-12-19 10:29:05,"Cargo ALANA",121,24182,2150.34253114589,121
54.5491,18.98915,"Cargo","ALANA EVITA",2016-12-17 19:45:01,"Cargo ALANA EVITA",120,26607,NA,NA
54.66463,19.82511,"Cargo","ALANA EVITA",2016-12-17 16:43:03,"Cargo ALANA EVITA",10918,26608,55410.7859551471,10918
54.66798,18.93716,"Cargo","ALEXANDER B",2016-12-14 11:13:01,"Cargo ALEXANDER B",121,27926,NA,NA
54.68479,18.95132,"Cargo","ALEXANDER B",2016-12-14 11:11:01,"Cargo ALEXANDER B",120,27927,2081.42673970629,120
59.91301,30.04308,"Cargo","ALLEGRA",2016-12-16 21:43:06,"Cargo ALLEGRA",119,27949,NA,NA
59.90941,30.06115,"Cargo","ALLEGRA",2016-12-16 21:41:07,"Cargo ALLEGRA",118,27950,1085.17852610502,119
59.91543,30.03198,"Cargo","ALMENDRO",2016-12-20 08:57:04,"Cargo ALMENDRO",119,29737,NA,NA
59.91223,30.0483,"Cargo","ALMENDRO",2016-12-20 08:55:04,"Cargo ALMENDRO",119,29738,977.920028018804,120
57.60223,11.78932,"Cargo","AMANDA",2016-12-19 06:11:05,"Cargo AMANDA",121,31401,NA,NA
57.99846,11.75718,"Cargo","AMANDA",2016-12-18 15:25:04,"Cargo AMANDA",53161,31402,44149.3043213357,53161
55.70917,21.1208,"Cargo","AMATHUS",2016-12-15 09:39:07,"Cargo AMATHUS",121,32365,NA,NA
55.7091,21.12082,"Cargo","AMATHUS",2016-12-15 09:33:07,"Cargo AMATHUS",360,32366,7.892673790227,360
54.6685,19.80217,"Cargo","AMBAL",2016-12-20 08:55:03,"Cargo AMBAL",119,32406,NA,NA
55.176,19.87267,"Cargo","AMBAL",2016-12-20 02:13:03,"Cargo AMBAL",24120,32407,56674.3781440912,24120
54.63288,19.89483,"Cargo","AMBER SPIRIT",2016-12-19 15:33:03,"Cargo AMBER SPIRIT",120,33121,NA,NA
54.65795,19.84142,"Cargo","AMBER SPIRIT",2016-12-19 15:15:03,"Cargo AMBER SPIRIT",1080,33122,4429.92403631227,1080
54.64067,20.02383,"Cargo","AMELAND",2016-12-18 13:43:03,"Cargo AMELAND",124,34023,NA,NA
54.633,19.89367,"Cargo","AMELAND",2016-12-18 13:17:02,"Cargo AMELAND",1561,34024,8429.16353247522,1561
54.655,19.8496,"Cargo","AMERDIJK",2016-12-13 18:39:03,"Cargo AMERDIJK",119,34032,NA,NA
54.63272,19.89502,"Cargo","AMERDIJK",2016-12-13 18:37:03,"Cargo AMERDIJK",120,34033,3835.55578833081,120
57.93881,11.68675,"Cargo","ANDALUCIA STAR",2016-12-14 22:57:05,"Cargo ANDALUCIA STAR",121,34256,NA,NA
57.9162,11.63816,"Cargo","ANDALUCIA STAR",2016-12-14 22:55:05,"Cargo ANDALUCIA STAR",120,34257,3818.92077926203,120
55.7312,21.01329,"Cargo","ANETTA",2016-12-16 11:15:07,"Cargo ANETTA",119,34862,NA,NA
55.73262,20.98763,"Cargo","ANETTA",2016-12-16 11:13:06,"Cargo ANETTA",121,34863,1616.12330379409,121
54.78513,18.9612,"Cargo","ANGLIA SEAWAYS",2016-12-20 02:05:02,"Cargo ANGLIA SEAWAYS",120,35133,NA,NA
54.79479,18.94468,"Cargo","ANGLIA SEAWAYS",2016-12-20 02:03:01,"Cargo ANGLIA SEAWAYS",121,35134,1510.18230707738,121
55.70835,20.81501,"Cargo","ANGORA",2016-12-15 08:33:07,"Cargo ANGORA",119,38743,NA,NA
55.70655,20.80155,"Cargo","ANGORA",2016-12-15 08:31:06,"Cargo ANGORA",121,38744,867.658220689811,121
57.61167,11.6025,"Cargo","ANINA",2016-12-15 00:51:05,"Cargo ANINA",NA,38745,NA,NA
57.6115,11.634,"Cargo","ANINA",2016-12-15 00:49:05,"Cargo ANINA",120,38746,1878.40756238583,120
57.93012,11.67011,"Cargo","ANJELIERSGRACHT",2016-12-16 10:47:05,"Cargo ANJELIERSGRACHT",120,39228,NA,NA
